,config,energy,magnetization
0,"[[ 1  1  1  1 -1 -1 -1 -1 -1 -1]
 [-1  1  1  1  1  1 -1 -1  1 -1]
 [-1  1 -1 -1  1  1  1  1 -1 -1]
 [ 1  1 -1 -1 -1  1  1  1  1 -1]
 [-1 -1 -1 -1 -1 -1  1  1  1  1]
 [-1 -1 -1  1 -1 -1  1  1  1  1]
 [ 1 -1 -1 -1 -1  1  1  1  1  1]
 [ 1 -1  1  1  1  1  1  1  1  1]
 [ 1 -1 -1 -1 -1 -1 -1  1  1  1]
 [ 1  1  1  1  1  1 -1 -1 -1 -1]]",-0.68,0.1
1,"[[-1 -1 -1 -1 -1  1  1  1  1 -1]
 [ 1  1  1 -1  1 -1  1  1  1  1]
 [ 1  1  1 -1 -1 -1  1  1  1  1]
 [ 1  1 -1 -1 -1 -1  1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1  1  1 -1 -1  1  1 -1 -1 -1]
 [-1 -1 -1 -1  1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1  1]
 [-1 -1 -1 -1 -1  1  1 -1 -1 -1]]",-0.92,-0.38
2,"[[ 1  1 -1 -1 -1  1  1  1  1  1]
 [ 1 -1 -1 -1 -1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1 -1  1  1  1  1  1 -1]
 [ 1  1 -1 -1  1  1 -1 -1 -1 -1]
 [ 1 -1 -1 -1  1  1  1 -1 -1 -1]
 [ 1 -1 -1 -1  1  1  1 -1 -1  1]
 [ 1 -1 -1 -1  1  1  1 -1 -1  1]
 [ 1 -1 -1  1  1  1  1  1 -1  1]
 [ 1  1 -1  1  1  1  1  1  1  1]]",-1.0,0.3
3,"[[ 1  1 -1 -1 -1  1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1  1  1  1 -1]
 [-1 -1 -1 -1 -1  1  1  1  1 -1]
 [-1  1 -1 -1 -1 -1  1  1  1  1]
 [ 1 -1 -1  1  1  1 -1  1  1  1]
 [ 1  1 -1  1  1  1 -1 -1  1  1]
 [ 1  1 -1  1  1  1  1  1  1  1]
 [ 1  1 -1  1  1  1  1  1  1  1]
 [ 1  1 -1  1 -1  1  1 -1 -1  1]
 [ 1  1 -1 -1 -1 -1  1 -1  1 -1]]",-0.68,0.14
4,"[[ 1 -1  1  1  1 -1  1  1  1  1]
 [ 1 -1 -1  1  1  1 -1  1  1  1]
 [-1 -1 -1 -1  1  1  1 -1  1  1]
 [-1 -1 -1 -1 -1  1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1  1  1 -1]
 [-1 -1 -1 -1  1  1  1  1  1 -1]
 [ 1 -1 -1 -1  1  1  1  1 -1  1]
 [ 1 -1 -1  1  1  1  1 -1  1  1]
 [-1 -1  1  1  1 -1  1 -1  1  1]
 [-1  1  1  1  1  1  1  1  1 -1]]",-0.64,0.1
5,"[[-1 -1 -1  1 -1 -1 -1 -1  1 -1]
 [-1  1  1  1 -1 -1 -1  1 -1 -1]
 [-1  1  1  1 -1 -1  1  1 -1 -1]
 [-1  1  1  1  1  1 -1  1  1 -1]
 [-1  1  1  1  1  1 -1 -1  1 -1]
 [-1 -1 -1 -1 -1  1  1 -1  1 -1]
 [-1  1  1 -1 -1 -1  1 -1 -1 -1]
 [-1 -1  1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1  1  1 -1 -1]]",-0.8,-0.34
6,"[[ 1 -1 -1 -1 -1 -1  1  1 -1  1]
 [ 1  1 -1 -1 -1 -1 -1 -1 -1  1]
 [ 1  1 -1  1  1 -1 -1  1  1  1]
 [ 1  1 -1 -1 -1  1  1  1 -1  1]
 [-1  1 -1 -1 -1 -1  1  1 -1 -1]
 [-1 -1  1 -1 -1 -1  1  1 -1 -1]
 [-1 -1  1  1  1  1  1  1 -1 -1]
 [ 1  1  1  1 -1 -1 -1 -1 -1 -1]
 [ 1  1  1  1  1 -1 -1 -1 -1 -1]
 [ 1  1 -1  1 -1 -1 -1 -1 -1  1]]",-0.68,-0.1
7,"[[-1 -1 -1 -1 -1  1 -1 -1  1 -1]
 [ 1 -1 -1 -1 -1 -1 -1  1  1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1  1]
 [-1 -1 -1 -1 -1 -1 -1  1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1  1 -1 -1]
 [-1 -1 -1  1  1  1 -1 -1 -1 -1]
 [-1 -1  1  1  1 -1 -1  1 -1 -1]
 [ 1  1  1 -1  1 -1  1  1  1  1]
 [ 1  1  1  1 -1 -1  1  1  1  1]
 [-1  1  1 -1 -1  1  1  1  1  1]]",-0.8,-0.22
8,"[[ 1  1 -1  1  1  1  1 -1  1  1]
 [-1  1  1  1 -1 -1  1 -1  1  1]
 [-1  1  1  1 -1  1  1  1  1  1]
 [-1 -1  1  1  1  1  1  1  1  1]
 [-1  1  1  1  1  1  1  1  1 -1]
 [-1  1  1  1  1 -1 -1 -1 -1 -1]
 [-1 -1  1  1  1  1 -1 -1  1  1]
 [-1  1  1  1  1  1  1  1  1  1]
 [-1 -1  1  1  1  1  1 -1  1  1]
 [ 1 -1 -1  1  1  1  1 -1 -1 -1]]",-0.72,0.38
9,"[[-1 -1 -1 -1 -1 -1  1  1  1  1]
 [-1 -1 -1 -1 -1  1 -1  1 -1  1]
 [-1 -1  1  1  1  1  1  1 -1 -1]
 [-1 -1  1  1  1  1  1  1 -1  1]
 [ 1  1  1  1 -1 -1 -1  1  1 -1]
 [ 1 -1  1  1  1 -1 -1  1  1  1]
 [ 1  1  1  1  1  1 -1  1  1  1]
 [ 1 -1 -1 -1 -1 -1 -1  1  1  1]
 [ 1  1 -1 -1 -1  1  1  1  1  1]
 [-1  1 -1 -1 -1 -1  1  1  1  1]]",-0.72,0.16
