,config,energy,magnetization
0,"[[ 1  1  1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1  1 -1  1  1 -1  1 -1 -1]
 [-1  1  1 -1  1 -1 -1 -1 -1 -1]
 [ 1 -1 -1  1  1 -1 -1  1  1 -1]
 [-1 -1  1  1  1  1  1  1  1 -1]
 [-1 -1 -1 -1  1  1  1  1  1  1]
 [-1 -1  1 -1 -1 -1  1  1  1  1]
 [-1 -1  1  1 -1 -1 -1  1 -1  1]
 [-1  1  1  1  1 -1 -1  1  1 -1]
 [ 1 -1 -1  1  1  1 -1  1  1 -1]]",-0.36,0.02
1,"[[ 1  1 -1  1 -1  1 -1  1  1  1]
 [ 1 -1 -1  1 -1 -1  1  1 -1 -1]
 [ 1 -1 -1 -1 -1  1  1 -1  1  1]
 [ 1  1 -1 -1 -1 -1  1  1 -1  1]
 [ 1 -1  1  1 -1  1 -1  1  1  1]
 [ 1 -1  1 -1  1  1 -1 -1 -1  1]
 [ 1  1 -1  1 -1  1 -1  1 -1 -1]
 [ 1 -1 -1  1  1  1 -1  1  1  1]
 [-1 -1 -1  1  1 -1 -1 -1  1 -1]
 [ 1  1 -1  1  1 -1 -1  1  1  1]]",-0.08,0.1
2,"[[-1 -1 -1  1  1 -1  1  1  1 -1]
 [-1  1 -1  1  1  1  1  1 -1  1]
 [-1 -1 -1  1 -1  1 -1 -1  1  1]
 [-1  1  1  1 -1  1 -1  1  1  1]
 [ 1  1 -1  1  1  1  1  1 -1  1]
 [ 1  1 -1 -1  1  1 -1 -1 -1  1]
 [-1 -1  1  1 -1 -1  1 -1 -1  1]
 [ 1  1  1  1  1  1 -1  1  1 -1]
 [ 1 -1 -1 -1 -1 -1  1  1 -1 -1]
 [ 1 -1  1 -1 -1  1 -1  1 -1  1]]",0.12,0.12
3,"[[ 1  1 -1  1  1  1 -1  1  1 -1]
 [-1 -1  1  1  1  1 -1 -1  1 -1]
 [-1 -1  1 -1 -1 -1  1 -1  1  1]
 [-1 -1 -1 -1 -1 -1 -1  1 -1  1]
 [ 1  1  1 -1  1 -1  1  1 -1  1]
 [-1  1  1  1  1 -1  1  1  1 -1]
 [-1  1  1  1 -1 -1  1  1 -1 -1]
 [ 1  1 -1  1 -1  1  1  1 -1 -1]
 [-1  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1 -1 -1  1 -1  1  1  1 -1]]",-0.24,0.0
4,"[[-1 -1  1  1  1  1  1  1  1 -1]
 [ 1 -1 -1  1  1  1  1 -1  1  1]
 [ 1  1  1  1 -1 -1  1 -1 -1 -1]
 [ 1  1  1  1 -1  1  1  1 -1  1]
 [ 1 -1  1 -1 -1 -1 -1  1  1 -1]
 [ 1  1 -1 -1  1  1 -1  1 -1  1]
 [ 1  1 -1  1  1 -1 -1  1 -1  1]
 [-1 -1 -1 -1 -1 -1  1  1 -1  1]
 [ 1 -1  1  1 -1 -1  1  1 -1  1]
 [ 1  1  1 -1  1  1  1  1 -1  1]]",-0.2,0.2
5,"[[-1 -1  1  1  1 -1  1  1 -1  1]
 [ 1  1  1  1  1  1  1 -1 -1  1]
 [-1  1  1 -1  1  1 -1 -1 -1 -1]
 [-1  1 -1 -1  1 -1  1  1  1  1]
 [-1  1  1  1  1 -1 -1  1  1  1]
 [-1  1  1 -1  1  1 -1 -1  1  1]
 [ 1 -1 -1 -1  1 -1 -1  1 -1  1]
 [-1  1  1  1 -1  1  1  1 -1  1]
 [ 1 -1  1  1  1 -1  1  1  1  1]
 [-1  1 -1 -1 -1 -1  1 -1  1 -1]]",0.04,0.18
6,"[[ 1 -1  1 -1 -1  1 -1  1  1  1]
 [-1 -1  1 -1 -1  1  1  1  1 -1]
 [-1 -1 -1 -1 -1  1  1  1 -1 -1]
 [ 1  1 -1  1  1  1  1  1  1 -1]
 [ 1 -1  1  1  1  1  1  1  1 -1]
 [ 1  1  1  1  1  1  1  1 -1 -1]
 [-1 -1 -1 -1 -1  1 -1  1 -1 -1]
 [-1  1  1  1 -1  1 -1 -1 -1  1]
 [ 1 -1  1 -1 -1  1 -1 -1 -1 -1]
 [ 1  1  1  1  1 -1 -1  1  1 -1]]",-0.36,0.1
7,"[[-1 -1  1 -1 -1 -1 -1  1 -1 -1]
 [-1  1  1 -1  1 -1 -1  1  1 -1]
 [ 1  1 -1  1  1 -1 -1  1 -1  1]
 [ 1 -1  1 -1  1 -1  1  1  1  1]
 [-1 -1 -1 -1  1 -1  1 -1 -1  1]
 [ 1 -1 -1 -1  1  1 -1  1 -1 -1]
 [-1  1  1 -1  1  1  1  1  1 -1]
 [-1 -1  1  1  1  1  1 -1  1  1]
 [-1 -1 -1  1 -1 -1 -1  1 -1  1]
 [ 1 -1  1  1 -1  1  1  1 -1 -1]]",0.0,0.0
8,"[[ 1 -1  1 -1  1  1  1  1  1  1]
 [-1  1  1  1 -1 -1 -1 -1 -1  1]
 [ 1 -1 -1 -1  1 -1  1  1 -1 -1]
 [-1  1 -1 -1  1 -1  1  1 -1  1]
 [-1 -1  1  1 -1 -1  1 -1 -1 -1]
 [ 1  1  1  1 -1  1 -1  1  1 -1]
 [-1 -1 -1  1 -1 -1  1  1  1 -1]
 [-1  1  1 -1 -1  1  1  1 -1  1]
 [-1 -1  1 -1 -1  1 -1  1 -1  1]
 [ 1 -1  1  1 -1  1  1  1 -1 -1]]",0.16,0.02
9,"[[-1  1  1  1  1  1  1 -1 -1 -1]
 [ 1 -1  1 -1  1 -1 -1 -1 -1 -1]
 [ 1  1 -1  1 -1 -1  1 -1 -1 -1]
 [-1  1 -1  1 -1 -1 -1 -1 -1  1]
 [-1  1  1 -1 -1 -1 -1  1 -1 -1]
 [-1 -1  1  1  1  1 -1  1 -1 -1]
 [ 1 -1 -1 -1  1 -1 -1 -1  1  1]
 [ 1 -1 -1 -1  1 -1 -1 -1  1 -1]
 [-1  1 -1 -1  1  1  1 -1 -1  1]
 [-1  1  1 -1  1  1 -1 -1 -1  1]]",-0.2,-0.18
10,"[[ 1 -1 -1  1  1 -1  1  1  1 -1]
 [ 1  1 -1 -1  1  1  1  1 -1 -1]
 [-1 -1 -1  1  1 -1  1  1 -1 -1]
 [-1 -1 -1 -1  1 -1 -1 -1  1  1]
 [ 1 -1 -1 -1  1 -1 -1 -1 -1  1]
 [ 1  1  1 -1  1 -1 -1 -1 -1 -1]
 [-1 -1  1 -1 -1  1 -1 -1 -1  1]
 [-1 -1  1  1  1 -1  1 -1  1  1]
 [ 1  1  1  1 -1  1  1 -1 -1  1]
 [ 1 -1  1  1  1  1  1 -1 -1  1]]",-0.28,-0.02
11,"[[-1  1  1  1  1  1  1 -1 -1 -1]
 [ 1  1  1 -1 -1  1  1  1 -1  1]
 [-1 -1  1 -1 -1 -1  1  1  1  1]
 [ 1  1  1 -1  1 -1  1 -1 -1 -1]
 [ 1 -1 -1  1  1  1  1  1  1 -1]
 [ 1 -1 -1 -1 -1 -1  1 -1  1 -1]
 [ 1 -1  1  1  1 -1  1 -1  1  1]
 [-1 -1  1 -1 -1  1 -1 -1  1 -1]
 [-1  1  1 -1 -1 -1  1 -1  1  1]
 [ 1 -1 -1  1 -1  1  1  1 -1  1]]",0.04,0.08
12,"[[ 1  1 -1 -1 -1 -1  1 -1 -1  1]
 [-1 -1  1  1  1  1  1 -1 -1  1]
 [ 1  1  1 -1 -1 -1  1 -1  1  1]
 [ 1 -1  1 -1 -1 -1  1 -1 -1  1]
 [-1  1 -1 -1 -1 -1  1  1  1  1]
 [ 1  1  1  1  1  1 -1  1 -1  1]
 [-1  1  1 -1  1 -1  1 -1  1 -1]
 [ 1  1 -1  1  1 -1  1  1  1 -1]
 [ 1 -1  1 -1 -1 -1 -1  1  1  1]
 [ 1  1  1  1 -1 -1 -1  1  1  1]]",-0.08,0.14
13,"[[-1 -1  1  1 -1 -1  1 -1  1  1]
 [-1  1 -1 -1 -1  1 -1 -1  1  1]
 [-1  1  1 -1  1  1 -1  1 -1 -1]
 [-1  1  1 -1 -1  1  1  1 -1 -1]
 [ 1  1  1 -1  1 -1  1 -1  1  1]
 [-1  1 -1 -1 -1  1  1 -1 -1  1]
 [ 1  1 -1  1  1 -1  1  1  1  1]
 [-1  1  1  1 -1 -1 -1 -1 -1  1]
 [-1  1  1 -1 -1 -1 -1  1 -1 -1]
 [ 1  1  1  1  1 -1 -1  1 -1 -1]]",-0.04,0.02
14,"[[-1 -1 -1 -1  1 -1 -1 -1  1 -1]
 [ 1 -1  1 -1  1 -1  1  1  1  1]
 [ 1  1  1  1 -1 -1 -1 -1 -1  1]
 [ 1 -1  1 -1 -1  1 -1  1 -1  1]
 [ 1 -1  1 -1  1 -1  1  1  1  1]
 [ 1  1 -1 -1 -1 -1  1  1 -1  1]
 [ 1 -1 -1 -1 -1 -1  1  1  1 -1]
 [ 1 -1 -1 -1 -1 -1 -1 -1  1  1]
 [ 1 -1  1 -1 -1 -1  1 -1  1  1]
 [-1  1  1  1 -1  1  1 -1 -1  1]]",-0.16,-0.02
15,"[[ 1  1 -1  1  1 -1 -1 -1 -1  1]
 [-1 -1  1 -1 -1  1 -1  1  1  1]
 [-1  1 -1  1 -1 -1 -1 -1  1 -1]
 [-1  1 -1 -1  1 -1 -1  1  1 -1]
 [ 1 -1 -1 -1 -1  1  1 -1  1 -1]
 [ 1 -1  1  1  1 -1 -1 -1 -1 -1]
 [ 1 -1 -1 -1 -1 -1  1  1 -1 -1]
 [ 1  1 -1  1  1  1 -1 -1 -1 -1]
 [ 1 -1 -1 -1 -1  1 -1 -1  1 -1]
 [ 1 -1 -1 -1  1  1  1 -1 -1 -1]]",0.04,-0.2
16,"[[-1  1  1 -1  1 -1 -1  1  1 -1]
 [-1 -1 -1  1  1  1  1  1  1 -1]
 [ 1 -1  1  1  1 -1  1 -1  1 -1]
 [-1 -1 -1  1 -1 -1 -1 -1 -1  1]
 [-1 -1  1  1  1 -1  1 -1 -1 -1]
 [ 1  1 -1 -1 -1 -1 -1  1  1 -1]
 [-1  1  1  1  1 -1 -1  1 -1 -1]
 [ 1 -1 -1  1  1  1 -1 -1 -1 -1]
 [ 1 -1  1 -1 -1 -1  1  1 -1 -1]
 [-1 -1 -1 -1  1 -1 -1  1  1 -1]]",-0.08,-0.14
