,config,energy,magnetization
0,"[[ 1 -1 -1  1  1  1  1  1  1 -1]
 [-1 -1 -1  1  1  1  1 -1 -1 -1]
 [ 1 -1 -1  1 -1  1 -1  1 -1 -1]
 [-1  1  1 -1 -1  1 -1  1 -1 -1]
 [-1  1  1  1 -1  1 -1  1  1 -1]
 [-1  1  1 -1 -1  1  1  1  1  1]
 [ 1 -1 -1  1 -1 -1 -1  1  1  1]
 [-1  1  1 -1 -1 -1 -1  1  1 -1]
 [ 1  1 -1  1  1  1 -1  1 -1 -1]
 [ 1 -1  1  1  1 -1 -1  1  1 -1]]",-0.2,0.06
1,"[[ 1 -1  1 -1 -1 -1  1  1 -1  1]
 [ 1  1  1  1 -1 -1  1 -1  1 -1]
 [-1  1 -1  1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1  1  1 -1  1 -1]
 [ 1  1 -1 -1 -1 -1 -1 -1  1  1]
 [-1 -1 -1 -1  1 -1 -1  1 -1 -1]
 [ 1 -1 -1 -1  1 -1 -1 -1 -1  1]
 [-1 -1 -1  1 -1 -1  1 -1 -1  1]
 [-1  1  1  1 -1  1  1 -1 -1 -1]
 [ 1 -1  1 -1  1 -1  1 -1 -1  1]]",-0.16,-0.24
2,"[[ 1  1 -1  1  1  1  1 -1  1  1]
 [-1  1  1 -1 -1  1  1 -1 -1  1]
 [ 1  1  1 -1  1  1 -1  1  1 -1]
 [ 1  1  1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1  1  1 -1  1  1 -1 -1  1]
 [ 1 -1  1 -1 -1 -1 -1  1  1  1]
 [-1 -1 -1  1  1  1 -1  1 -1 -1]
 [ 1  1 -1  1  1 -1  1 -1  1 -1]
 [-1  1  1  1 -1  1 -1  1 -1 -1]
 [-1 -1 -1  1  1  1 -1 -1 -1  1]]",0.04,0.08
3,"[[-1  1  1  1 -1  1 -1  1  1 -1]
 [-1  1  1 -1  1 -1  1 -1  1  1]
 [ 1  1 -1  1  1 -1  1 -1 -1  1]
 [ 1 -1 -1 -1 -1  1  1 -1  1 -1]
 [ 1 -1 -1  1  1 -1 -1 -1  1  1]
 [ 1  1 -1  1  1 -1 -1 -1  1 -1]
 [ 1  1 -1  1 -1  1 -1 -1  1  1]
 [-1  1  1 -1 -1 -1  1 -1  1  1]
 [ 1 -1  1  1  1 -1  1  1  1 -1]
 [ 1 -1 -1  1 -1  1  1 -1 -1 -1]]",0.16,0.08
4,"[[-1 -1  1 -1  1 -1 -1 -1  1  1]
 [-1  1  1  1  1 -1  1 -1  1  1]
 [ 1 -1  1  1 -1  1  1  1 -1  1]
 [ 1 -1 -1 -1 -1 -1  1 -1 -1 -1]
 [ 1  1 -1  1 -1  1  1 -1 -1 -1]
 [-1  1 -1 -1 -1  1 -1 -1 -1 -1]
 [-1 -1 -1  1  1  1 -1 -1  1  1]
 [ 1  1  1 -1  1 -1 -1 -1  1  1]
 [ 1  1 -1 -1  1  1  1 -1 -1  1]
 [ 1 -1 -1 -1  1 -1 -1  1  1 -1]]",-0.12,-0.04
5,"[[-1  1 -1  1  1  1  1 -1  1 -1]
 [-1  1  1  1  1  1  1 -1  1 -1]
 [-1 -1 -1 -1 -1  1  1 -1  1 -1]
 [ 1 -1 -1 -1  1 -1 -1 -1  1  1]
 [-1  1  1 -1  1  1 -1 -1  1 -1]
 [-1  1 -1  1  1  1 -1 -1  1 -1]
 [-1 -1  1  1 -1 -1  1 -1  1 -1]
 [-1 -1  1 -1  1  1 -1 -1  1 -1]
 [-1 -1  1  1  1 -1  1 -1  1 -1]
 [-1 -1 -1 -1 -1 -1 -1  1  1 -1]]",-0.2,-0.1
6,"[[ 1  1 -1  1 -1  1  1 -1 -1  1]
 [-1 -1 -1 -1  1 -1  1 -1  1  1]
 [ 1  1 -1 -1  1  1  1  1  1 -1]
 [ 1  1 -1  1 -1 -1 -1 -1 -1  1]
 [ 1  1  1 -1  1  1 -1  1  1 -1]
 [ 1  1  1  1 -1 -1  1  1 -1 -1]
 [ 1  1  1 -1  1 -1  1  1 -1 -1]
 [ 1  1  1 -1 -1  1 -1 -1 -1 -1]
 [-1  1 -1  1 -1  1  1  1 -1  1]
 [-1 -1  1 -1  1  1  1  1  1  1]]",0.12,0.14
7,"[[ 1 -1  1 -1  1  1 -1 -1 -1 -1]
 [-1 -1  1  1  1  1 -1  1  1  1]
 [-1  1 -1  1  1 -1  1  1  1 -1]
 [-1 -1 -1 -1  1 -1 -1 -1 -1  1]
 [-1 -1  1  1 -1 -1  1 -1 -1 -1]
 [ 1  1 -1  1  1 -1  1  1 -1  1]
 [-1 -1  1 -1 -1  1 -1 -1  1 -1]
 [-1  1  1 -1  1 -1  1 -1  1 -1]
 [ 1 -1 -1 -1 -1  1 -1  1  1  1]
 [ 1 -1  1 -1 -1 -1 -1  1 -1  1]]",0.2,-0.08
8,"[[ 1  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1  1 -1  1 -1 -1 -1  1  1]
 [ 1  1  1 -1  1  1 -1 -1  1 -1]
 [-1  1  1 -1  1 -1 -1 -1 -1  1]
 [-1 -1  1 -1 -1 -1 -1  1  1 -1]
 [-1  1 -1  1 -1 -1 -1 -1  1 -1]
 [-1  1 -1  1 -1 -1 -1  1 -1  1]
 [ 1 -1  1  1 -1  1  1 -1 -1 -1]
 [-1  1  1  1  1 -1 -1  1 -1 -1]
 [-1 -1 -1 -1  1 -1  1  1  1 -1]]",0.04,-0.2
9,"[[ 1  1  1 -1  1 -1  1 -1  1  1]
 [-1  1  1 -1  1  1 -1 -1 -1  1]
 [ 1 -1 -1  1  1  1 -1 -1  1 -1]
 [ 1 -1  1 -1  1 -1 -1  1 -1 -1]
 [ 1  1 -1 -1  1 -1 -1  1 -1 -1]
 [ 1 -1  1 -1 -1  1 -1 -1 -1  1]
 [-1 -1  1 -1 -1  1  1 -1  1 -1]
 [-1  1  1  1 -1 -1  1  1 -1 -1]
 [-1  1 -1  1  1  1 -1 -1  1  1]
 [ 1  1 -1  1  1  1 -1  1  1 -1]]",0.16,0.02
10,"[[-1  1  1 -1  1 -1 -1 -1 -1 -1]
 [ 1 -1 -1 -1 -1  1  1 -1 -1  1]
 [-1 -1 -1  1 -1  1  1  1  1  1]
 [-1 -1  1 -1 -1 -1 -1 -1  1 -1]
 [-1 -1  1 -1 -1  1  1 -1 -1  1]
 [-1 -1 -1  1  1  1  1  1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1  1  1 -1]
 [ 1 -1  1 -1  1 -1  1  1 -1  1]
 [-1  1 -1 -1  1 -1 -1  1  1 -1]
 [ 1 -1 -1 -1  1 -1  1  1  1 -1]]",-0.04,-0.18
