,config,energy,magnetization
0,"[[ 1 -1 -1 -1 -1  1  1  1  1 -1]
 [ 1 -1  1  1 -1 -1 -1  1  1  1]
 [ 1  1 -1  1  1 -1  1  1  1  1]
 [ 1 -1 -1 -1 -1  1 -1 -1  1  1]
 [-1 -1 -1 -1 -1  1 -1 -1  1 -1]
 [ 1  1  1  1  1 -1 -1 -1  1  1]
 [ 1 -1 -1  1  1 -1 -1 -1  1  1]
 [ 1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1 -1 -1  1  1  1]
 [ 1 -1  1 -1 -1 -1  1  1  1 -1]]",-0.4,-0.06
1,"[[ 1  1 -1  1 -1 -1 -1 -1  1  1]
 [ 1  1  1 -1 -1 -1  1  1  1  1]
 [ 1  1 -1  1  1 -1  1  1  1 -1]
 [ 1  1 -1  1  1  1  1  1 -1  1]
 [ 1 -1 -1  1 -1  1  1  1 -1 -1]
 [ 1 -1 -1 -1  1  1  1 -1 -1  1]
 [ 1 -1 -1  1  1  1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1  1  1  1 -1 -1  1 -1 -1]
 [-1 -1 -1  1  1 -1 -1 -1  1 -1]]",-0.52,-0.04
2,"[[ 1 -1 -1 -1 -1  1 -1 -1 -1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1 -1 -1  1  1 -1 -1  1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1  1 -1  1 -1 -1]
 [-1 -1 -1 -1 -1  1  1  1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1  1  1  1]
 [ 1 -1  1 -1 -1 -1 -1 -1  1  1]
 [ 1 -1 -1 -1 -1  1 -1 -1  1  1]
 [ 1 -1 -1 -1 -1  1 -1 -1 -1 -1]]",-0.8,-0.46
3,"[[ 1  1 -1 -1 -1 -1  1  1  1  1]
 [ 1  1  1 -1 -1 -1  1  1  1  1]
 [ 1  1 -1 -1  1  1  1  1  1  1]
 [ 1  1  1  1  1 -1 -1 -1  1  1]
 [ 1 -1  1  1 -1 -1 -1  1  1  1]
 [ 1  1  1  1 -1 -1 -1  1 -1  1]
 [ 1  1  1 -1 -1 -1 -1 -1  1  1]
 [ 1  1  1  1  1  1  1 -1 -1  1]
 [ 1  1  1  1  1 -1 -1 -1 -1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1  1]]",-0.84,0.2
4,"[[ 1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1 -1 -1  1  1  1  1]
 [ 1  1  1  1 -1 -1 -1 -1 -1 -1]
 [ 1  1  1  1  1  1 -1 -1 -1  1]
 [ 1  1 -1  1  1 -1 -1 -1  1  1]
 [ 1  1 -1  1  1 -1  1 -1  1  1]
 [ 1  1 -1  1  1 -1 -1 -1  1  1]
 [ 1  1  1  1 -1  1 -1 -1 -1  1]
 [-1  1  1 -1 -1  1 -1 -1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1]]",-0.88,0.38
5,"[[ 1  1  1 -1  1 -1 -1 -1 -1  1]
 [ 1  1  1  1  1  1  1  1  1  1]
 [ 1 -1 -1 -1  1  1  1  1  1  1]
 [-1 -1 -1 -1 -1 -1 -1  1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1  1 -1 -1]
 [-1  1  1  1  1  1  1  1  1 -1]
 [ 1 -1  1  1 -1 -1 -1  1  1  1]
 [ 1  1  1  1 -1  1 -1 -1  1  1]
 [ 1  1  1 -1  1  1 -1  1  1  1]
 [ 1  1  1 -1  1 -1  1  1  1  1]]",-0.68,0.22
6,"[[ 1  1  1 -1  1 -1  1  1  1 -1]
 [ 1 -1  1 -1 -1  1  1  1  1 -1]
 [-1 -1 -1 -1  1  1  1 -1 -1  1]
 [ 1 -1  1  1  1  1  1 -1 -1 -1]
 [ 1 -1 -1 -1  1  1  1 -1 -1  1]
 [ 1  1 -1 -1  1  1  1 -1 -1  1]
 [ 1  1  1  1  1  1 -1 -1  1  1]
 [-1 -1 -1  1  1  1  1  1  1  1]
 [-1 -1 -1  1  1 -1  1  1  1 -1]
 [-1 -1  1  1  1 -1  1 -1  1 -1]]",-0.48,0.18
7,"[[ 1 -1 -1 -1  1 -1 -1 -1 -1  1]
 [-1 -1  1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1  1 -1 -1 -1 -1  1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1  1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1  1  1  1 -1 -1 -1 -1 -1]
 [-1 -1 -1  1  1 -1 -1 -1 -1  1]]",-1.32,-0.74
8,"[[-1  1  1 -1  1  1  1  1 -1 -1]
 [ 1  1  1  1  1  1 -1  1  1  1]
 [ 1 -1 -1  1  1  1 -1 -1  1 -1]
 [ 1 -1  1  1  1  1  1 -1  1 -1]
 [-1 -1  1  1  1  1  1 -1 -1  1]
 [-1 -1 -1  1  1 -1  1  1  1 -1]
 [-1 -1  1 -1  1 -1  1  1  1 -1]
 [-1  1  1  1  1  1  1  1 -1 -1]
 [-1 -1  1  1  1  1  1 -1  1 -1]
 [-1 -1  1  1  1  1  1  1  1 -1]]",-0.56,0.26
9,"[[-1  1  1  1  1  1 -1 -1  1  1]
 [ 1  1  1  1  1  1 -1 -1 -1  1]
 [ 1  1  1  1  1  1  1 -1  1  1]
 [-1  1  1  1  1  1  1 -1 -1  1]
 [-1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1 -1 -1  1  1  1  1]
 [ 1 -1 -1  1  1  1  1  1  1  1]
 [-1 -1  1  1  1  1  1  1  1 -1]
 [ 1  1 -1  1  1  1  1 -1  1 -1]
 [-1 -1 -1 -1  1  1 -1 -1 -1 -1]]",-0.8,0.42
10,"[[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1  1 -1 -1  1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1  1 -1 -1 -1 -1]
 [-1  1 -1 -1  1  1  1 -1 -1 -1]
 [ 1  1 -1  1 -1  1  1 -1  1 -1]
 [-1 -1 -1 -1  1  1 -1 -1  1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1  1  1]
 [-1 -1 -1  1  1 -1 -1 -1  1 -1]
 [-1  1  1  1 -1 -1 -1 -1 -1 -1]]",-0.76,-0.44
11,"[[ 1  1  1 -1 -1  1 -1 -1  1 -1]
 [-1  1  1  1  1 -1 -1 -1  1 -1]
 [ 1  1  1  1  1  1  1 -1 -1  1]
 [ 1  1 -1 -1  1 -1 -1 -1  1 -1]
 [ 1  1 -1 -1 -1 -1 -1 -1  1  1]
 [ 1  1  1 -1 -1 -1 -1 -1  1  1]
 [ 1  1 -1 -1  1 -1 -1 -1 -1  1]
 [-1  1  1 -1 -1 -1 -1 -1 -1  1]
 [-1  1  1  1  1 -1 -1 -1 -1 -1]
 [ 1  1  1  1 -1 -1 -1  1  1 -1]]",-0.6,-0.04
12,"[[-1 -1  1  1 -1 -1 -1 -1 -1 -1]
 [-1  1  1  1 -1 -1 -1 -1 -1 -1]
 [-1  1  1  1  1 -1  1  1  1  1]
 [-1  1 -1  1  1  1  1  1  1  1]
 [-1  1  1  1  1  1  1  1  1  1]
 [ 1 -1  1 -1  1  1  1  1  1  1]
 [-1  1  1 -1  1  1  1  1  1  1]
 [ 1  1  1  1 -1  1  1  1  1 -1]
 [ 1  1  1 -1 -1 -1 -1  1  1  1]
 [-1 -1  1 -1 -1  1 -1 -1 -1  1]]",-0.72,0.26
13,"[[-1  1 -1  1  1  1  1 -1 -1 -1]
 [-1  1  1  1  1 -1 -1 -1 -1 -1]
 [ 1 -1  1  1  1  1 -1 -1 -1  1]
 [ 1 -1  1  1  1  1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1  1 -1 -1 -1 -1]
 [-1 -1  1  1 -1  1 -1  1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1  1  1 -1]
 [-1 -1 -1 -1 -1 -1 -1  1  1 -1]
 [ 1 -1  1 -1 -1  1 -1 -1 -1 -1]
 [-1  1  1 -1 -1 -1  1 -1 -1 -1]]",-0.64,-0.28
