,C,Minimum energy,Best Ti sites,Total time
0,1,-123.88366290529285,"[(3, 8), (7, 2), (6, 1), (8, 5), (5, 8), (4, 1), (8, 3), (8, 1)]",239.91038748699998
1,1,-123.87844447953407,"[(1, 5), (1, 1), (5, 1), (7, 8), (8, 7), (2, 2), (3, 1), (1, 3)]",219.70253424500004
2,1,-123.88003108415852,"[(8, 1), (8, 7), (8, 3), (6, 1), (7, 2), (8, 5), (4, 1), (1, 5)]",232.49303996699996
3,1,-123.87699194651469,"[(1, 4), (2, 7), (1, 2), (1, 8), (3, 8), (1, 6), (8, 5), (8, 3)]",390.4983630820002
4,1,-123.88006383263358,"[(8, 1), (7, 2), (8, 5), (2, 1), (6, 1), (5, 8), (8, 3), (4, 1)]",192.6158283069999
5,0.75,-123.91163959124871,"[(8, 8), (8, 6), (1, 7), (1, 5), (2, 8), (4, 8), (7, 7), (6, 8)]",227.2430671730001
6,0.75,-123.87843209132299,"[(1, 2), (6, 1), (8, 1), (5, 8), (8, 3), (4, 1), (7, 2), (2, 1)]",220.30766723199986
7,0.75,-123.91169923373499,"[(1, 1), (5, 1), (1, 3), (3, 1), (8, 2), (7, 1), (1, 5), (2, 2)]",185.77604081900017
8,0.75,-123.91163959124889,"[(1, 3), (3, 1), (8, 2), (7, 1), (8, 4), (5, 1), (2, 2), (1, 1)]",189.79440379300013
9,0.75,-123.8803717947321,"[(1, 5), (8, 3), (7, 2), (4, 1), (1, 2), (2, 1), (6, 1), (8, 1)]",200.30050618799987
10,0.5,-123.90666019610238,"[(2, 7), (7, 8), (3, 8), (1, 6), (1, 2), (1, 4), (1, 8), (5, 8)]",210.03186533100006
11,0.5,-123.90666019610255,"[(2, 1), (8, 1), (4, 1), (8, 3), (7, 2), (6, 1), (8, 7), (8, 5)]",194.26475805200016
12,0.5,-123.91169923373464,"[(3, 1), (2, 2), (1, 7), (1, 3), (1, 1), (1, 5), (2, 8), (5, 1)]",194.67734048500006
13,0.5,-123.91163959124907,"[(4, 1), (1, 4), (8, 1), (1, 2), (2, 1), (6, 1), (7, 2), (8, 3)]",204.89730647399983
14,0.5,-123.91163959124879,"[(6, 1), (7, 8), (8, 7), (8, 1), (5, 8), (7, 2), (8, 3), (8, 5)]",202.62009819000014
15,0.25,-123.91169923373472,"[(1, 2), (2, 1), (8, 5), (6, 1), (7, 2), (8, 3), (8, 1), (4, 1)]",215.9053904010002
16,0.25,-123.91169923373475,"[(8, 1), (7, 2), (8, 3), (4, 1), (2, 1), (6, 1), (1, 2), (8, 5)]",225.23196903699954
17,0.25,-123.91169923373494,"[(6, 8), (7, 1), (8, 8), (7, 7), (4, 8), (8, 6), (8, 2), (8, 4)]",225.28809315099988
18,0.25,-123.91169923373478,"[(2, 8), (1, 5), (1, 7), (1, 3), (3, 1), (2, 2), (1, 1), (5, 1)]",213.9777709889995
19,0.25,-123.91169923373481,"[(1, 1), (8, 2), (3, 1), (5, 1), (2, 2), (1, 3), (1, 5), (7, 1)]",282.62076698800047
20,0.1,-123.91169923373498,"[(8, 1), (2, 1), (1, 2), (8, 5), (7, 2), (4, 1), (6, 1), (8, 3)]",328.921436007
21,0.1,-123.91169923373458,"[(1, 6), (3, 8), (1, 8), (2, 1), (5, 8), (1, 2), (2, 7), (1, 4)]",330.6367173919998
22,0.1,-123.91169923373491,"[(1, 6), (5, 8), (2, 7), (3, 8), (2, 1), (1, 2), (1, 4), (1, 8)]",331.6483086649996
23,0.1,-123.91169923373484,"[(4, 1), (8, 5), (7, 2), (8, 3), (2, 1), (8, 1), (6, 1), (1, 2)]",337.05535662199964
24,0.1,-123.91169923373478,"[(3, 8), (1, 6), (8, 7), (1, 8), (5, 8), (7, 8), (1, 4), (2, 7)]",336.47897551700044
