,C,Minimum energy,Best Ti sites,Total time
25,0.075,-123.91169923373481,"[(1, 8), (1, 6), (5, 8), (3, 8), (1, 4), (7, 8), (8, 7), (2, 7)]",338.38020915200013
26,0.075,-123.91169923373467,"[(1, 4), (1, 2), (4, 1), (7, 2), (2, 1), (8, 1), (8, 3), (6, 1)]",336.7971865569998
27,0.075,-123.91169923373477,"[(4, 8), (6, 8), (8, 4), (7, 1), (8, 2), (8, 8), (8, 6), (7, 7)]",338.6181169239999
28,0.075,-123.91169923373481,"[(1, 2), (1, 8), (5, 8), (1, 4), (1, 6), (2, 1), (2, 7), (3, 8)]",340.2140935010002
29,0.075,-123.91169923373482,"[(8, 4), (7, 7), (6, 8), (8, 6), (2, 8), (8, 8), (1, 7), (4, 8)]",345.2285254439994
30,0.05,-123.91169923373478,"[(2, 1), (8, 5), (1, 2), (8, 1), (6, 1), (4, 1), (8, 3), (7, 2)]",343.7695962029993
31,0.05,-123.91169923373505,"[(1, 4), (1, 2), (4, 1), (7, 2), (2, 1), (8, 1), (8, 3), (6, 1)]",341.2647868540007
32,0.05,-123.9116992337351,"[(8, 3), (8, 1), (4, 1), (7, 2), (8, 7), (7, 8), (8, 5), (6, 1)]",344.64976649600067
33,0.05,-123.91169923373485,"[(7, 7), (8, 6), (8, 2), (8, 8), (7, 1), (6, 8), (4, 8), (8, 4)]",291.0586985299997
34,0.05,-123.91169923373477,"[(1, 2), (6, 1), (7, 2), (8, 5), (2, 1), (8, 1), (8, 3), (4, 1)]",231.68091624299996
35,0.025,-123.91169923373482,"[(4, 8), (8, 8), (8, 2), (8, 6), (6, 8), (8, 4), (7, 1), (7, 7)]",238.43644462200064
36,0.025,-123.9116992337351,"[(4, 8), (8, 8), (6, 8), (8, 2), (8, 4), (7, 7), (7, 1), (8, 6)]",224.80363856199983
37,0.025,-123.91169923373505,"[(1, 4), (1, 2), (4, 1), (7, 2), (2, 1), (8, 1), (8, 3), (6, 1)]",233.26292897999883
38,0.025,-123.91169923373488,"[(7, 2), (4, 1), (8, 5), (2, 1), (1, 2), (8, 1), (8, 3), (6, 1)]",231.19635910399847
39,0.025,-123.91169923373515,"[(8, 5), (7, 8), (4, 1), (7, 2), (8, 7), (8, 1), (8, 3), (6, 1)]",228.9817354450006
40,0.001,-123.91169923373488,"[(1, 4), (1, 2), (4, 1), (7, 2), (2, 1), (8, 1), (8, 3), (6, 1)]",233.68823285399958
41,0.001,-123.91169923373488,"[(1, 4), (1, 2), (4, 1), (7, 2), (2, 1), (8, 1), (8, 3), (6, 1)]",241.7703263559997
42,0.001,-123.91169923373491,"[(8, 5), (1, 2), (4, 1), (7, 2), (2, 1), (8, 1), (8, 3), (6, 1)]",236.6626968340006
43,0.001,-123.91169923373488,"[(1, 4), (1, 2), (4, 1), (7, 2), (2, 1), (8, 1), (8, 3), (6, 1)]",237.53256272200088
44,0.001,-123.91169923373491,"[(8, 5), (1, 2), (4, 1), (7, 2), (2, 1), (8, 1), (8, 3), (6, 1)]",240.62803403199905
