,C,Minimum energy,Best Ti sites,Total time
0,250,-123.74343125473958,"[(8, 8), (5, 1), (1, 5), (2, 1), (7, 1), (1, 3), (5, 8), (8, 6)]",244.474842702999
1,250,-123.7742526598237,"[(3, 1), (1, 4), (7, 1), (1, 6), (8, 3), (1, 2), (2, 7), (6, 8)]",239.06522016000054
2,250,-123.74339790196993,"[(5, 8), (3, 1), (2, 7), (1, 8), (8, 6), (1, 3), (3, 8), (7, 1)]",233.6923663130001
3,250,-123.71431736905238,"[(2, 2), (8, 6), (7, 2), (1, 1), (3, 1), (8, 1), (1, 7), (1, 5)]",235.63887321899892
4,250,-123.81067859525025,"[(4, 1), (7, 8), (8, 6), (1, 4), (8, 4), (1, 7), (2, 1), (1, 2)]",233.71464120699966
5,200,-123.5756120297304,"[(3, 8), (8, 2), (5, 8), (6, 0), (7, 1), (8, 4), (8, 7), (7, 8)]",217.1777432760009
6,200,-123.5258362380117,"[(1, 2), (0, 3), (8, 2), (1, 5), (4, 1), (7, 8), (2, 1), (5, 8)]",223.17694786200082
7,200,-123.72372264639023,"[(2, 1), (3, 8), (1, 3), (7, 2), (8, 4), (4, 1), (8, 7), (1, 7)]",260.76677831099914
8,200,-123.76029766280007,"[(3, 1), (2, 8), (1, 4), (4, 8), (8, 4), (7, 8), (1, 1), (2, 2)]",265.26104733899956
9,200,-123.79329707819893,"[(5, 1), (1, 3), (2, 8), (7, 1), (5, 8), (7, 8), (8, 2), (3, 1)]",266.81722464500126
10,150,-123.77386754811134,"[(1, 4), (6, 8), (2, 8), (7, 7), (3, 1), (7, 1), (1, 7), (5, 1)]",268.49144660599995
11,150,-123.72754469204806,"[(7, 2), (6, 1), (3, 1), (1, 4), (8, 7), (8, 5), (1, 1), (6, 8)]",274.2477908870005
12,150,-123.70084211522034,"[(7, 8), (1, 4), (8, 7), (1, 8), (6, 1), (3, 1), (4, 8), (8, 5)]",274.85725739600093
13,150,-123.79269382617285,"[(8, 2), (3, 8), (8, 4), (1, 4), (1, 8), (7, 1), (1, 6), (3, 1)]",277.3720675759996
14,150,-123.75007468292337,"[(8, 1), (7, 8), (6, 1), (5, 8), (3, 8), (1, 7), (8, 6), (1, 2)]",287.8662482740001
15,100,-123.82578085270566,"[(5, 8), (1, 4), (7, 7), (8, 8), (1, 2), (8, 6), (1, 6), (2, 1)]",292.3567081649999
16,100,-123.673847598212,"[(6, 8), (7, 2), (1, 8), (3, 1), (1, 4), (4, 8), (8, 8), (6, 1)]",289.93706852799914
